gender,age,time_of_day,date
0,75,23,0801
0,28,23,0801
0,27,23,0801
0,27,23,0801
0,36,23,0801
0,35,23,0801
0,27,23,0801
0,31,23,0801
0,33,23,0801
0,75,23,0801
0,36,23,0801
0,27,23,0801
0,27,23,0801
0,37,23,0801
0,27,23,0801
0,27,23,0801
0,27,23,0801
0,35,23,0801
0,37,23,0801
0,27,23,0801
0,27,23,0801
0,24,23,0801
0,27,23,0801
0,28,23,0801
0,27,23,0801
0,37,23,0801
0,29,23,0801
0,37,23,0801
0,29,23,0801
0,27,0,0802
0,24,0,0802
0,29,0,0802
0,27,0,0802
0,28,0,0802
0,37,0,0802
0,40,0,0802
0,27,0,0802
0,25,0,0802
0,27,0,0802
0,27,0,0802
0,27,0,0802
0,26,0,0802
0,27,0,0802
0,27,0,0802
0,26,0,0802
0,25,0,0802
0,26,0,0802
0,27,1,0802
0,26,1,0802
0,27,1,0802
0,27,1,0802
0,40,1,0802
0,34,1,0802
0,27,1,0802
0,27,1,0802
0,27,1,0802
0,30,2,0802
0,27,2,0802
0,27,2,0802
0,27,2,0802
0,27,2,0802
0,27,2,0802
0,27,2,0802
0,27,2,0802
0,27,2,0802
0,27,2,0802
0,27,3,0802
0,27,3,0802
0,27,3,0802
0,27,3,0802
0,27,3,0802
0,27,3,0802
0,27,3,0802
0,27,4,0802
0,27,4,0802
0,27,4,0802
0,27,4,0802
0,27,4,0802
0,27,4,0802
0,31,5,0802
0,46,5,0802
0,31,5,0802
0,37,5,0802
0,34,5,0802
0,27,5,0802
0,26,5,0802
0,34,5,0802
0,40,5,0802
0,28,5,0802
0,56,6,0802
0,48,6,0802
0,32,6,0802
0,48,6,0802
0,51,6,0802
0,32,6,0802
0,22,6,0802
0,30,6,0802
0,26,6,0802
0,49,6,0802
0,27,6,0802
0,37,6,0802
0,29,6,0802
0,29,6,0802
0,44,6,0802
0,32,6,0802
0,30,6,0802
0,40,6,0802
0,31,6,0802
0,48,6,0802
0,43,6,0802
0,31,6,0802
0,39,6,0802
0,38,6,0802
0,25,6,0802
0,35,6,0802
0,36,6,0802
0,29,6,0802
0,30,6,0802
0,44,6,0802
0,32,7,0802
0,26,7,0802
0,32,7,0802
0,38,7,0802
0,53,7,0802
0,33,7,0802
0,32,6,0802
0,31,7,0802
0,36,7,0802
0,33,7,0802
0,28,7,0802
0,31,7,0802
0,33,7,0802
0,29,7,0802
0,24,7,0802
0,40,7,0802
0,33,7,0802
0,24,7,0802
0,24,7,0802
0,46,7,0802
0,26,7,0802
0,54,7,0802
0,30,7,0802
0,59,7,0802
0,55,7,0802
0,53,8,0802
0,40,8,0802
0,29,8,0802
0,29,8,0802
0,27,8,0802
0,43,8,0802
0,24,8,0802
0,30,8,0802
0,59,8,0802
0,61,8,0802
0,45,8,0802
0,31,8,0802
0,51,8,0802
0,35,8,0802
0,31,8,0802
0,40,8,0802
0,46,8,0802
0,18,8,0802
0,37,8,0802
0,46,8,0802
0,66,8,0802
0,38,8,0802
0,43,8,0802
0,46,8,0802
0,53,8,0802
0,40,8,0802
0,36,8,0802
0,25,8,0802
0,31,8,0802
0,28,8,0802
0,40,8,0802
0,30,8,0802
0,26,8,0802
0,30,8,0802
0,59,8,0802
0,31,8,0802
0,32,8,0802
0,32,8,0802
0,33,8,0802
0,38,8,0802
0,29,8,0802
0,40,8,0802
0,36,8,0802
0,64,8,0802
0,59,8,0802
0,29,8,0802
0,56,8,0802
0,51,8,0802
0,30,8,0802
0,29,8,0802
0,37,8,0802
0,56,8,0802
0,35,8,0802
0,28,8,0802
0,36,8,0802
0,49,8,0802
0,47,8,0802
0,31,8,0802
0,42,8,0802
0,39,8,0802
0,24,8,0802
0,44,8,0802
0,40,8,0802
0,37,8,0802
0,28,8,0802
0,23,8,0802
0,35,8,0802
0,30,8,0802
0,42,8,0802
0,28,8,0802
0,32,8,0802
0,37,8,0802
0,27,8,0802
0,30,8,0802
0,37,8,0802
0,27,8,0802
0,41,8,0802
0,26,8,0802
0,36,8,0802
0,37,8,0802
0,44,8,0802
0,35,8,0802
0,30,8,0802
0,48,8,0802
0,32,8,0802
0,44,8,0802
0,43,8,0802
0,52,8,0802
0,29,8,0802
0,34,8,0802
0,32,9,0802
0,54,9,0802
0,52,9,0802
0,36,9,0802
0,24,9,0802
0,31,9,0802
0,28,9,0802
0,26,9,0802
0,55,9,0802
0,28,9,0802
0,45,9,0802
0,40,9,0802
0,22,9,0802
0,30,9,0802
0,25,9,0802
0,31,9,0802
0,59,9,0802
0,38,9,0802
0,29,9,0802
0,28,9,0802
0,31,9,0802
0,45,9,0802
0,26,9,0802
0,48,9,0802
0,35,9,0802
0,27,9,0802
0,25,9,0802
0,33,9,0802
0,40,9,0802
0,26,9,0802
0,30,9,0802
0,41,9,0802
0,35,9,0802
0,36,9,0802
0,31,9,0802
0,38,9,0802
0,33,9,0802
0,25,9,0802
0,52,9,0802
0,36,9,0802
0,31,9,0802
0,38,9,0802
0,62,9,0802
0,35,9,0802
0,42,9,0802
0,25,9,0802
0,49,9,0802
0,38,9,0802
0,40,9,0802
0,56,9,0802
0,26,10,0802
0,44,10,0802
